,afc,,,,,
0,693,,,,,
1,600,,,,,
2,723,,,Column_Name,Description,Measurement
3,735,,,AFC,Age at First calving,Number of days
4,750,,,,,
5,630,,,,,
6,606,,,,,
7,723,,,,,
8,786,,,,,
9,750,,,,,
10,600,,,,,
11,735,,,,,
12,765,,,,,
13,672,,,,,
14,660,,,,,
15,666,,,,,
16,753,,,,,
17,660,,,,,
18,672,,,,,
19,609,,,,,
20,606,,,,,
21,762,,,,,
22,792,,,,,
23,675,,,,,
24,693,,,,,
25,639,,,,,
26,693,,,,,
27,600,,,,,
28,762,,,,,
29,735,,,,,
30,819,,,,,
31,600,,,,,
32,795,,,,,
33,690,,,,,
34,822,,,,,
35,666,,,,,
36,705,,,,,
37,645,,,,,
38,642,,,,,
39,603,,,,,
40,645,,,,,
41,645,,,,,
42,675,,,,,
43,606,,,,,
44,612,,,,,
45,642,,,,,
46,792,,,,,
47,630,,,,,
48,660,,,,,
49,663,,,,,
50,732,,,,,
51,600,,,,,
52,669,,,,,
53,603,,,,,
54,732,,,,,
55,615,,,,,
56,609,,,,,
57,639,,,,,
58,765,,,,,
59,609,,,,,
60,645,,,,,
61,855,,,,,
62,696,,,,,
63,666,,,,,
64,672,,,,,
65,630,,,,,
66,735,,,,,
67,609,,,,,
68,633,,,,,
69,615,,,,,
70,675,,,,,
71,612,,,,,
72,735,,,,,
73,693,,,,,
74,672,,,,,
75,645,,,,,
76,750,,,,,
77,606,,,,,
78,696,,,,,
79,603,,,,,
80,720,,,,,
81,705,,,,,
82,660,,,,,
83,825,,,,,
84,633,,,,,
85,750,,,,,
86,696,,,,,
87,693,,,,,
88,690,,,,,
89,690,,,,,
90,702,,,,,
91,645,,,,,
92,720,,,,,
93,606,,,,,
94,666,,,,,
95,705,,,,,
96,732,,,,,
97,705,,,,,
98,765,,,,,
99,672,,,,,
100,612,,,,,
101,705,,,,,
102,600,,,,,
103,645,,,,,
104,642,,,,,
105,762,,,,,
106,642,,,,,
107,672,,,,,
108,603,,,,,
109,633,,,,,
110,723,,,,,
111,606,,,,,
112,675,,,,,
113,759,,,,,
114,795,,,,,
115,759,,,,,
116,720,,,,,
117,753,,,,,
118,633,,,,,
119,735,,,,,
120,702,,,,,
121,642,,,,,
122,615,,,,,
123,762,,,,,
124,732,,,,,
125,759,,,,,
126,603,,,,,
127,663,,,,,
128,729,,,,,
129,603,,,,,
130,603,,,,,
131,609,,,,,
132,759,,,,,
133,603,,,,,
134,663,,,,,
135,609,,,,,
136,705,,,,,
137,765,,,,,
138,612,,,,,
139,639,,,,,
140,660,,,,,
141,630,,,,,
142,693,,,,,
143,762,,,,,
144,810,,,,,
145,633,,,,,
146,603,,,,,
147,639,,,,,
148,633,,,,,
149,660,,,,,
150,690,,,,,
151,609,,,,,
152,735,,,,,
153,753,,,,,
154,705,,,,,
155,792,,,,,
156,735,,,,,
157,723,,,,,
158,675,,,,,
159,795,,,,,
160,615,,,,,
161,642,,,,,
162,669,,,,,
163,723,,,,,
164,612,,,,,
165,672,,,,,
166,852,,,,,
167,600,,,,,
168,633,,,,,
169,603,,,,,
170,735,,,,,
171,669,,,,,
172,759,,,,,
173,606,,,,,
174,702,,,,,
175,735,,,,,
176,705,,,,,
177,732,,,,,
178,672,,,,,
179,660,,,,,
180,720,,,,,
181,735,,,,,
182,639,,,,,
183,642,,,,,
184,705,,,,,
185,672,,,,,
186,609,,,,,
187,780,,,,,
188,780,,,,,
189,690,,,,,
190,702,,,,,
191,795,,,,,
192,690,,,,,
193,609,,,,,
194,732,,,,,
195,792,,,,,
196,732,,,,,
197,702,,,,,
198,726,,,,,
199,792,,,,,
200,699,,,,,
201,693,,,,,
202,609,,,,,
203,795,,,,,
204,720,,,,,
205,750,,,,,
