,dpn,calf_bw,pw_adg,wa,ww,bega,belg,kirmt,tseday,negative,positive,,,,,
0,4,27.4,0.23659306,12.68,48.4,0,0,0,1,1,0,,,,,
1,5,33.5,0.303110174,10.84,56.5,0,1,0,0,0,1,,,,,
2,4,28.4,0.203317282,13.35,47.4,0,1,0,0,1,0,,,column_name,Description,Measurement
3,9,29,0.262697023,11.42,50,0,0,0,1,1,0,,,dpn,Dam's parity number,number
4,5,27.5,0.228571429,11.25,45.5,0,0,1,0,1,0,,,calf_bw,calf birth weight,Kg
5,5,33.5,0.269320843,12.2,56.5,0,0,0,1,0,1,,,pw_adg,preweaning average daily weight gain,Kg
6,3,33.3,0.247729149,13.84,57.3,0,0,0,1,1,0,,,wa,weaning age,months
7,4,29.4,0.265721878,11.29,50.4,0,0,1,0,1,0,,,ww,weaning weight,Kg
8,3,27.3,0.223797091,11.49,45.3,1,0,0,0,0,1,,,,,
9,5,28.5,0.21153575,10.13,43.5,0,0,1,0,1,0,,,,,
10,5,32.5,0.303072048,10.37,54.5,0,0,1,0,1,0,,,,,
11,8,32,0.197148923,9.42,45,0,0,1,0,1,0,,,,,
12,8,32,0.176623377,13.75,49,0,0,1,0,1,0,,,,,
13,7,27.1,0.393650794,11.25,58.1,0,0,1,0,1,0,,,,,
14,5,27.5,0.338733432,9.7,50.5,0,0,0,1,1,0,,,,,
15,3,30.3,0.247202706,10.98,49.3,0,0,1,0,1,0,,,,,
16,4,32.4,0.143266476,13.96,46.4,1,0,0,0,1,0,,,,,
17,5,28.5,0.303951368,13.16,56.5,0,0,1,0,1,0,,,,,
18,7,32.1,0.206739715,13.82,52.1,0,0,0,1,1,0,,,,,
19,6,30.2,0.361846866,9.87,55.2,0,0,1,0,1,0,,,,,
20,3,33.3,0.313345677,10.03,55.3,0,0,1,0,1,0,,,,,
21,7,28.1,0.262548263,9.25,45.1,0,0,1,0,1,0,,,,,
22,7,27.1,0.237304224,12.04,47.1,0,0,1,0,1,0,,,,,
23,8,30,0.272308337,13.64,56,0,0,1,0,1,0,,,,,
24,4,30.4,0.290065265,9.85,50.4,0,0,1,0,0,1,,,,,
25,6,33.2,0.214568041,12.65,52.2,0,1,0,0,1,0,,,,,
26,4,31.4,0.176238855,13.78,48.4,0,0,0,1,1,0,,,,,
27,5,31.5,0.301386377,11.85,56.5,0,1,0,0,1,0,,,,,
28,7,28.1,0.215543049,11.93,46.1,0,1,0,0,1,0,,,,,
29,8,27,0.265619587,12.37,50,0,1,0,0,1,0,,,,,
30,6,28.2,0.168208579,11.89,42.2,1,0,0,0,1,0,,,,,
31,5,33.5,0.31655264,13.99,64.5,0,0,1,0,1,0,,,,,
32,8,30,0.170338406,12.58,45,0,0,1,0,1,0,,,,,
33,5,33.5,0.19632752,12.37,50.5,1,0,0,0,1,0,,,,,
34,7,29.1,0.203355363,11.24,45.1,1,0,0,0,0,1,,,,,
35,3,31.3,0.229489386,9.96,47.3,0,1,0,0,1,0,,,,,
36,8,27,0.343334826,9.57,50,0,0,0,1,1,0,,,,,
37,9,31,0.356074633,10.03,56,0,0,1,0,1,0,,,,,
38,7,32.1,0.341491178,10.04,56.1,0,0,1,0,1,0,,,,,
39,4,31.4,0.366594112,12.47,63.4,0,0,1,0,1,0,,,,,
40,8,33,0.301907507,10.41,55,0,0,1,0,1,0,,,,,
41,8,29,0.358137684,10.77,56,0,0,0,1,1,0,,,,,
42,9,31,0.262363899,10.89,51,0,0,1,0,1,0,,,,,
43,3,33.3,0.282485876,10.62,54.3,0,0,1,0,1,0,,,,,
44,7,31.1,0.350495528,11.82,60.1,0,1,0,0,1,0,,,,,
45,7,33.1,0.308008214,9.74,54.1,0,1,0,0,0,1,,,,,
46,7,27.1,0.19896538,10.77,42.1,0,0,1,0,1,0,,,,,
47,5,28.5,0.305932429,10.74,51.5,0,0,0,1,1,0,,,,,
48,5,29.5,0.267705038,11.74,51.5,0,1,0,0,1,0,,,,,
49,4,33.4,0.248231352,11.51,53.4,1,0,0,0,1,0,,,,,
50,7,29.1,0.322927879,9.29,50.1,0,0,1,0,1,0,,,,,
51,5,33.5,0.308047747,11.13,57.5,0,0,1,0,1,0,,,,,
52,6,27.2,0.299245381,10.98,50.2,0,1,0,0,1,0,,,,,
53,4,32.4,0.362261774,9.07,55.4,0,0,1,0,1,0,,,,,
54,7,30.1,0.209621633,13.63,50.1,0,0,1,0,1,0,,,,,
55,8,30,0.336662552,12.73,60,0,0,1,0,1,0,,,,,
56,6,29.2,0.322312331,13.74,60.2,1,0,0,0,1,0,,,,,
57,6,31.2,0.253780269,13.51,55.2,0,0,1,0,1,0,,,,,
58,9,29,0.224971879,12.7,49,1,0,0,0,1,0,,,,,
59,6,33.2,0.334702571,9.39,55.2,1,0,0,0,1,0,,,,,
60,9,29,0.348697832,13.11,61,0,0,1,0,1,0,,,,,
61,9,27,0.186173514,11.51,42,0,0,1,0,1,0,,,,,
62,3,31.3,0.235206734,11.54,50.3,0,0,1,0,1,0,,,,,
63,3,29.3,0.284575982,12.55,54.3,0,0,1,0,1,0,,,,,
64,7,27.1,0.43715847,9.15,55.1,0,0,1,0,1,0,,,,,
65,5,33.5,0.221075903,13.57,54.5,0,0,1,0,1,0,,,,,
66,8,28,0.292440415,9.77,48,1,0,0,0,1,0,,,,,
67,6,29.2,0.464828014,9.22,59.2,0,0,1,0,1,0,,,,,
68,4,30.4,0.300372462,11.89,55.4,0,0,0,1,0,1,,,,,
69,8,32,0.332502078,12.03,60,0,0,1,0,1,0,,,,,
70,8,30,0.344989807,9.11,52,0,1,0,0,0,1,,,,,
71,7,33.1,0.442612943,9.36,62.1,0,0,0,1,1,0,,,,,
72,8,31,0.193357598,12.56,48,0,1,0,0,1,0,,,,,
73,4,27.4,0.307881773,11.6,52.4,1,0,0,0,1,0,,,,,
74,7,33.1,0.221402214,13.55,54.1,0,0,1,0,1,0,,,,,
75,8,31,0.318074955,10.33,54,0,0,1,0,1,0,,,,,
76,5,27.5,0.292063492,11.25,50.5,0,0,1,0,0,1,,,,,
77,3,33.3,0.289235412,11.36,56.3,0,0,0,1,1,0,,,,,
78,3,28.3,0.23573786,12.12,48.3,0,1,0,0,1,0,,,,,
79,4,32.4,0.267723281,13.34,57.4,0,1,0,0,0,1,,,,,
